augmentation,alpha,beta,sigma,ssim_to_original,psnr_db,passes_criterion,delta_ssim_pct
contrast_brightness,0.8,-0.1,0.0,0.5667974948883057,15.904219766730339,False,-43.320250511169434
contrast_brightness,0.8,0.0,0.0,0.9615190029144287,23.164722164909904,False,-3.848099708557129
contrast_brightness,0.8,0.1,0.0,0.9379153847694397,25.18524747760174,False,-6.20846152305603
contrast_brightness,1.0,-0.1,0.0,0.751918613910675,20.226479844721766,False,-24.808138608932495
contrast_brightness,1.0,0.0,0.0,1.0,inf,True,0.0
contrast_brightness,1.0,0.1,0.0,0.9178054928779602,20.000161588612677,False,-8.21945071220398
contrast_brightness,1.2,-0.1,0.0,0.8561477661132812,25.6403792877782,False,-14.385223388671875
contrast_brightness,1.2,0.0,0.0,0.9729289412498474,23.17330164334715,False,-2.707105875015259
contrast_brightness,1.2,0.1,0.0,0.8633169531822205,15.779961658101389,False,-13.668304681777954
gaussian_noise,1.0,0.0,0.0,1.0,inf,True,0.0
gaussian_noise,1.0,0.0,0.035,0.6979605555534363,29.15898361370763,False,-30.203944444656372
gaussian_noise,1.0,0.0,0.07,0.41469839215278625,23.267003298023145,False,-58.530160784721375
