axis,threshold_offset,threshold,kernel_size,min_area_px,foreground_fraction,n_objects,mean_area_px,std_area_px,mean_perimeter_px,jaccard_to_baseline,count_stability,passes_jaccard,passes_count,passes_criterion
threshold_kernel,-0.04,0.35215686274509805,3,180,0.3978031914893617,8,9117.875,15879.66573449472,645.0873522162437,0.8854596182810301,2,True,False,False
threshold_kernel,-0.04,0.35215686274509805,5,180,0.3604840425531915,9,7376.111111111111,11854.839522790307,486.6983868016137,0.8695389984475038,3,True,False,False
threshold_kernel,-0.04,0.35215686274509805,7,180,0.32854787234042554,9,6781.333333333333,11728.732049970278,416.9143967628479,0.7882139108619409,3,False,False,False
threshold_kernel,0.0,0.39215686274509803,3,180,0.4533563829787234,8,10408.0,22051.362257887184,609.5717407763004,0.8988048828738668,2,True,False,False
threshold_kernel,0.0,0.39215686274509803,5,180,0.4145691489361702,6,12811.0,23884.92579850312,749.9973275860151,1.0,0,True,True,True
threshold_kernel,0.0,0.39215686274509803,7,180,0.38802659574468085,7,10333.285714285714,16755.537788188973,527.2796417645046,0.9143121756892199,1,True,True,True
threshold_kernel,0.04,0.432156862745098,3,180,0.5150106382978723,9,10575.444444444445,23920.279587157373,615.8785518407822,0.8001936567125743,3,False,False,False
threshold_kernel,0.04,0.432156862745098,5,180,0.4768989361702128,6,14723.333333333334,26630.5890784764,736.192589879036,0.8693018949998327,0,True,True,True
threshold_kernel,0.04,0.432156862745098,7,180,0.45178723404255317,5,16887.8,27990.5452822913,714.6115995407105,0.8799921510688398,1,True,True,True
min_area,0.0,0.39215686274509803,5,120,0.4145691489361702,8,9641.0,21022.5117773441,574.6496460735798,1.0,2,True,False,False
min_area,0.0,0.39215686274509803,5,180,0.4145691489361702,6,12811.0,23884.92579850312,749.9973275860151,1.0,0,True,True,True
min_area,0.0,0.39215686274509803,5,300,0.4145691489361702,5,15314.2,25809.242989673294,879.8713098049163,1.0,1,True,True,True
