roi_sec,smoothing_ms,normalize,noise_std,best_match_abs_sec,peak_value,psr_db
3,100,True,0.0,289.73,0.6656026244163513,0.07249039698865231
3,100,True,0.01,289.73,0.6650521755218506,0.07812667732715843
3,100,False,0.0,289.73,0.6656026244163513,0.07248961264951617
3,100,False,0.01,301.38,0.6461503505706787,0.0076423516846513455
3,200,True,0.0,289.72,0.7421950697898865,0.2786240739370876
3,200,True,0.01,289.72,0.7419013977050781,0.26760017242186646
3,200,False,0.0,289.72,0.7421950697898865,0.27862263335666315
3,200,False,0.01,289.74,0.718000590801239,0.3461370334376032
3,400,True,0.0,289.66,0.8259021639823914,0.06121680402623065
3,400,True,0.01,289.66,0.824580192565918,0.05409546478491165
3,400,False,0.0,289.66,0.8259022235870361,0.06121743087935071
3,400,False,0.01,289.7,0.7885502576828003,0.10903454173453743
4,100,True,0.0,289.65,0.5593796968460083,0.15658937468855555
4,100,True,0.01,289.65,0.5581807494163513,0.1459879346594582
4,100,False,0.0,289.65,0.5593797564506531,0.15659030021256298
4,100,False,0.01,289.67,0.5445032119750977,0.2991303440004511
4,200,True,0.0,277.41,0.6250465512275696,0.1892492933865943
4,200,True,0.01,277.41,0.6249576807022095,0.18413796463277132
4,200,False,0.0,277.41,0.62504643201828,0.18924763680784937
4,200,False,0.01,277.42,0.5989736914634705,0.03895504838599778
4,400,True,0.0,277.39,0.7152413129806519,0.29622504153665813
4,400,True,0.01,277.39,0.71559077501297,0.28967770717762964
4,400,False,0.0,277.39,0.7152413725852966,0.29622501642497034
4,400,False,0.01,277.4,0.6631048917770386,0.37837757363808855
5,100,True,0.0,277.47,0.5639001727104187,0.8034990722913085
5,100,True,0.01,277.47,0.5632609128952026,0.8114986497218306
5,100,False,0.0,277.47,0.5639002323150635,0.8034989833086212
5,100,False,0.01,277.45,0.5565017461776733,1.075475037488388
5,200,True,0.0,277.42,0.6741876006126404,1.7835455639344078
5,200,True,0.01,277.42,0.6733836531639099,1.7720898608491107
5,200,False,0.0,277.42,0.6741876602172852,1.7835463318502551
5,200,False,0.01,277.41,0.6441895961761475,1.6765613494911302
5,400,True,0.0,277.39,0.7756016254425049,1.4407504836697758
5,400,True,0.01,277.39,0.7760441899299622,1.4492966938152025
5,400,False,0.0,277.39,0.7756013870239258,1.4407486015823023
5,400,False,0.01,277.39,0.7104155421257019,1.143736817375121
