lag_sec,peak_value,prominence
33.58,0.14398168,0.29227176308631897
37.7,0.12238108,0.09818989038467407
8.17,0.11251974,0.18704406917095184
35.63,0.09764903,0.054430946707725525
29.41,0.09145153,0.11581249162554741
