signal,nrmse,snr_db,spectral_cosine
noisy (degraded),0.08660503476858139,21.24913787841797,0.9974214434623718
filtered (convolved),0.12718600034713745,17.91121482849121,0.9926875829696655
reconstructed (deconvolved),0.05535511299967766,25.136844635009766,0.9989494681358337
